SYMBOL,COMPANY_NAME_API,NSE_INDUSTRY,SECTOR,INDEX_MEMBERSHIP
APCL,Anjani Portland Cement Limited,Cement & Cement Products,Materials,
APCOTEXIND,Apcotex Industries Limited,Rubber,Industrials,
APEX,Apex Frozen Foods Limited,Seafood,Consumer Staples,
APLAPOLLO,APL Apollo Tubes Limited,Iron & Steel Products,Materials,"NIFTY500,NIFTYMIDCAP150"
APLLTD,Alembic Pharmaceuticals Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
APOLLO,Apollo Micro Systems Limited,Aerospace & Defense,Industrials,
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Hospital,Healthcare & Pharma,"NIFTY100,NIFTY50,NIFTY500"
APOLLOPIPE,Apollo Pipes Limited,Plastic Products - Industrial,Industrials,
APOLLOTYRE,Apollo Tyres Limited,Tyres & Rubber Products,Consumer Discretionary,"NIFTY500,NIFTYMIDCAP150"
APOLSINHOT,Apollo Sindoori Hotels Limited,Hotels & Resorts,Consumer Discretionary,
APTECHT,Aptech Limited,Education,Diversified / Others,
APTUS,Aptus Value Housing Finance India Limited,Housing Finance Company,Financials,"NIFTY500,NIFTYSMALLCAP250"
ARCHIDPLY,Archidply Industries Limited,Plywood Boards/ Laminates,Materials,
ARCHIES,Archies Limited,Leisure Products,Diversified / Others,
ARE&M,Amara Raja Energy & Mobility Limited,Auto Components & Equipments,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
ARENTERP,Rajdarshan Industries Limited,Trading - Minerals,Materials,
ARFIN,Arfin India Limited,Aluminium,Materials,
ARIES,Aries Agro Limited,Fertilizers,Materials,
ARIHANTCAP,Arihant Capital Markets Limited,Stockbroking & Allied,Financials,
ARIHANTSUP,Arihant Superstructures Limited,Residential Commercial Projects,Real Estate & Construction,
ARISINFRA,Arisinfra Solutions Limited,Other Construction Materials,Real Estate & Construction,
ARKADE,Arkade Developers Limited,Residential Commercial Projects,Real Estate & Construction,
